Week_Number,Start_of_the_Week,Number_of_Respiratory_Outbreaks__Excl__COVID_19__in_Schools__Camps__and_Licensed_Child_Care,Number_of_Respiratory_Outbreaks__Excl__COVID_19__in_Healthcare_Institutions,Number_of_Respiratory_Outbreaks__Excl__COVID_19__in_Congregate_Care,Previous_3_Season_Average_of_Respiratory_Outbreaks__Excl__COVID_19__in_Schools__Camps__and_Child_Care,Previous_3_Season_Average_of_Respiratory_Outbreaks__Excl__COVID_19__in_Healthcare_Institutions,Previous_3_Season_Average_of_Respiratory_Outbreaks__Excl__COVID_19__in_Congregate_Care,Prior_to_COVID_19_3_Season_Average_of_Respiratory_Outbreaks_in_Schools__Camps__and_Child_Care,Prior_to_COVID_19_3_Season_Average_of_Respiratory_Outbreaks_in_Healthcare_Institutions,Prior_to_COVID_19_3_Season_Average_of_Respiratory_Outbreaks_in_Congregate_Care,ObjectId
47,2025/11/16,0,6,1,6.3,3.7,0,0.7,0.3,0,1
48,2025/11/23,0,6,1,2.7,5,0.3,0.3,1,0,2
49,2025/11/30,0,15,1,3.3,5,0,0,4,0,3
52,2025/12/21,0,15,1,0,5.3,0,0,8.7,0,4
1,2026/01/04,0,6,0,0,4.3,0,0,15,0,5
2,2026/01/11,0,7,0,0,10,0,2.3,17,0,6
3,2026/01/18,0,3,0,0,7,0.3,1.7,11.3,0,7
4,2026/01/25,0,10,0,0,7,0,1.3,9.3,0,8
5,2026/02/01,0,4,0,0.3,3.3,0.3,2.3,9.3,0,9
6,2026/02/08,0,6,0,0,6.7,0.3,0.3,7,0,10
7,2026/02/15,0,8,0,0,7.3,0,0.7,11,0,11
8,2026/02/22,0,3,0,0,6.7,0.3,1,11,0,12
35,2025/08/24,0,5,0,0,1.7,0,0,0.3,0,13
36,2025/08/31,0,2,0,0.3,1,0,0,0.7,0,14
37,2025/09/07,0,2,0,0,1.3,0.3,0,1.3,0,15
38,2025/09/14,0,3,0,0,1,0,0.3,1.7,0,16
39,2025/09/21,0,6,0,0,1.3,0,0,1,0,17
40,2025/09/28,1,6,0,0.3,3.3,0.3,0,3.7,0,18
41,2025/10/05,0,0,0,0,7,0.3,0.3,1,0,19
42,2025/10/12,0,2,0,2,1.7,0,0,1.7,0,20
43,2025/10/19,0,4,0,4,2.7,0,0,1,0,21
44,2025/10/26,0,5,0,5.7,2,0.3,0,1.3,0,22
45,2025/11/02,0,3,0,10.7,1.7,0,0,1.3,0,23
46,2025/11/09,0,1,0,6.3,2.3,0,0.7,1,0,24
50,2025/12/07,0,13,0,0.7,6.3,0.3,0.3,3,0,25
51,2025/12/14,0,16,0,0,3.7,0.3,0,4.7,0,26
53,2025/12/28,0,14,0,,,,,,,27
